# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
NCLH,"Norwegian Cruise Ord","Consumer Discretionary","Leisure & Recreation Services",NYSE,Yes,4142554,26446201,15.03,-0.81,0.00,N/A
NDAQ,"Nasdaq Inc",Finance,"Securities Exchanges",NASDAQ,Yes,19995126,605300,121.73,5.86,21.35,0.490
NEE,"Nextera Energy",Utilities,"Utility - Electric Power",NYSE,Yes,145872656,7508800,74.46,9.09,33.35,1.400
NEM,"Newmont Mining Corp","Basic Materials","Mining - Misc",NYSE,Yes,47100116,9871101,58.65,1.58,39.02,0.250
NFLX,"Netflix Inc","Consumer Discretionary","Broadcast - Radio & TV",NASDAQ,Yes,214818400,5992700,486.24,6.20,78.86,N/A
NI,"NiSource Inc",Utilities,"Utility - Electric Power",NYSE,Yes,8878474,4575800,23.18,1.34,18.10,0.210
NKE,"Nike Inc","Consumer Staples","Shoes and Related Apparel",NYSE,Yes,191644480,8618300,122.08,1.92,66.66,0.245
NLOK,"Nortonlifelock Inc","Industrial Products","Protection - Safety",NASDAQ,Yes,12068281,4580300,20.42,0.85,24.47,0.125
NLSN,"Nielsen Holdings Plc","Business Services","Business Information",NYSE,Yes,4966016,8769800,13.92,1.49,9.65,0.060
NOC,"Northrop Grumman Corp",Aerospace,"Aerospace - Defense",NYSE,Yes,48957820,1221400,293.66,22.66,13.33,1.450
NOV,National-Oilwell,Oils-Energy,"Oil Field Machinery & Equip",NYSE,Yes,3110155,8362100,8.01,-0.41,45.21,0.050
NOW,"Servicenow Inc","Computers and Technology","IT Services",NYSE,Yes,92840792,1776500,484.05,1.20,416.51,N/A
NRG,"NRG Energy",Utilities,"Utility - Electric Power",NYSE,Yes,7600016,2605700,31.13,4.24,7.79,0.300
NSC,"Norfolk Southern Corp",Transportation,"Transportation - Rail",NYSE,Yes,54565436,2077700,198.11,9.24,22.04,0.940
NTAP,"Netapp Inc","Computers and Technology","Computer - Storage Devices",NASDAQ,Yes,9388592,2496800,42.29,3.54,12.44,0.480
NTRS,"Northern Trust Corp",Finance,"Banks - Major Regional",NASDAQ,Yes,16189636,896800,77.80,6.03,13.38,0.700
NUE,"Nucor Corp","Basic Materials","Steel - Producers",NYSE,Yes,14062269,2562600,46.58,2.50,19.29,0.403
